province;red;green;blue;
247;163;142;128;Cumbria
248;35;144;192;Lothian
249;163;146;255;Ayrshire
250;35;148;0;Fife
251;163;150;64;Aberdeen
252;36;152;128;Highlands
253;164;154;192;Western Isles
254;36;156;255;Poznan
255;164;158;0;Kalisz
256;36;32;64;Plock
257;164;34;128;Mazovia
258;36;36;192;Lodz
259;165;38;255;Sandomir
260;37;40;0;Galicien
261;165;42;64;Ruthenia
262;37;44;128;Krakow
263;165;46;192;Ratibor
264;37;48;255;Breslau
265;165;50;0;Moravia
266;38;52;64;Bohemia
267;166;54;128;Plsen
268;38;56;192;Bessarabia
269;166;58;255;Podlasia
270;38;60;0;Troki
271;166;62;64;Samogitia
272;38;64;128;Lithuania
273;167;66;192;Wenden
274;39;68;255;Pskov
275;167;70;0;Polotsk
276;39;72;64;Minsk
277;167;74;128;Grodno
278;39;76;192;Polesia
279;167;78;255;Volhynia
280;40;80;0;Kiev
281;168;82;64;Podolia
282;40;84;128;Cherson
283;168;86;192;Zaporozhia
284;40;88;255;Crimea
285;168;90;0;Kaffa
286;40;92;64;Azow
287;169;94;128;Kouban
288;41;96;192;Lugansk
289;169;98;255;Chernigov
290;41;100;0;Poltava
291;169;102;64;Kharkov
292;41;104;128;Mogilyov
293;169;106;192;Smolensk
294;42;108;255;Tver
295;170;110;0;Moskva
296;42;112;64;Kaluga
297;170;114;128;Bryansk
298;42;116;192;Kursk
299;170;118;255;Voronezh
300;42;120;0;Tula
301;171;122;64;Ryazan
302;43;124;128;Tambow
303;171;126;192;Saratow
304;43;128;255;Pensa
305;171;130;0;Simbirsk
306;43;132;64;Nijni-Novgorod
307;171;134;128;Vladimir
308;44;136;192;Yaroslavl
309;172;138;255;Olonets
310;44;140;0;Novgorod
311;172;142;64;Kholm
312;44;144;128;Vologda
313;172;146;192;Archangelsk
314;44;148;255;Ustyug
315;173;150;0;Finnmark
316;45;152;64;Bithynia
317;173;154;128;Bursa
318;45;156;192;Smyrna
319;173;158;255;Antalya
320;45;32;0;Rhodes
321;173;34;64;Cyprus
322;46;36;128;Anatolia
323;174;38;192;Konya
324;46;40;255;Karaman
325;174;42;0;Kastamon
326;46;44;64;Angora
327;174;46;128;Adana
328;46;48;192;Sinope
329;175;50;255;Sivas
330;47;52;0;Trebizon
331;175;54;64;Erserum
332;47;56;128;Mus
333;175;58;192;The Baleares
334;47;60;255;Tangiers
335;175;62;0;Mellila
336;48;244;64;Tlemcen
337;176;66;128;Oran
338;48;68;192;Al-Djazair
339;176;70;255;Kabylia
340;48;72;0;Constantine
341;176;74;64;Tunis
342;48;76;128;Toubkhal
343;177;78;192;Fez
344;49;80;255;Marrakech
345;177;82;0;Safi
346;49;84;64;Figuig
347;177;86;128;Ifni
348;49;88;192;Sus
349;177;90;255;Atlas
350;50;92;0;Aures
351;178;94;64;Biskra
352;50;96;128;Gafsa
353;178;98;192;Gabes
354;50;100;255;Tripolitania
355;178;102;0;Sirt
356;50;104;64;Cyrenaica
357;179;106;128;Libya
358;51;108;192;Alexandria
359;179;110;255;Asyut
360;51;112;0;Nile
361;179;114;64;Cairo
362;51;116;128;Delta
363;179;118;192;Diamientia
364;52;120;255;Gaza
365;180;122;0;Sinai
366;52;124;64;The Canarias
367;180;126;128;The Azores
368;52;128;192;Madeira
369;180;130;255;Orkney
370;52;132;0;Reykjavik
371;181;134;64;Akureyri
372;53;136;128;Ulster
373;181;138;192;Meath
374;53;140;255;Leinster
375;181;142;0;Munster
376;53;144;64;Connaught
377;181;146;128;Aleppo
378;54;148;192;Beirut
379;182;150;255;Judea
380;54;152;0;Al Karak
381;182;154;64;Hawran
382;54;156;128;Damascus
383;182;158;192;Tabouk
384;54;32;255;Medina
385;183;34;0;Mecca
386;55;36;64;Asir
387;183;38;128;Mocha
388;55;40;192;Aden
389;183;42;255;Hadramut
390;55;44;0;Sana'a
391;183;46;64;Najran
392;56;48;128;Nejd
393;184;50;192;Jabal Shammar
394;56;52;255;Al Hasa
395;184;54;0;Qatar
396;56;56;64;Bahrain
397;184;58;128;Beni Yas
398;56;60;192;Qawasim
399;185;62;255;Suhar
400;57;64;0;Muscat
401;185;66;64;Dhofar
402;57;68;128;Mahra
403;185;70;192;Nizwa
404;57;72;255;Liwa
405;185;74;0;Al Jawf
406;58;76;64;Badiyat Ash Sham
407;186;78;128;Dayr Az Zor
408;58;80;192;Basra
409;186;82;255;Karbala
410;58;84;0;Iraq-i-Arab
411;186;86;64;Mosul
412;58;88;128;Khuzestan
413;187;90;192;Luristan
414;59;92;255;Hamadan
415;187;94;0;Sharizhor
416;59;96;64;Azerbaijan
417;187;98;128;Gilan
418;59;100;192;Van
419;187;102;255;Armenia
420;60;104;0;Qarabagh
421;188;106;64;Murgan
422;60;108;128;Imereti
423;188;110;192;Kartli
424;60;112;255;Shirva
425;188;114;0;Dagestan
426;60;116;64;Mazandaran
427;189;118;128;Gurgan
428;61;120;192;Ajam
429;189;122;255;Fars
430;61;124;0;Laristan
431;189;126;64;Hormuz
432;61;128;128;Kerman
433;189;130;192;Dash-i-Lut
434;62;132;255;Makran
435;190;134;0;Sistan
436;62;136;64;Khurasan
437;190;138;128;Atak
438;62;140;192;Kara Kum
439;190;142;255;Mangyshlak
440;62;144;0;Khawarzam
441;191;146;64;Khiva
442;63;148;128;Bukhara
443;191;150;192;Ust Yurt
444;63;152;255;Charjo
445;191;154;0;Marv
446;63;156;64;Herat
447;191;158;128;Kandahar
448;64;32;192;Gazni
449;192;34;255;Gharchistan
450;64;36;0;Balkh
451;192;38;64;Kabulistan
452;64;40;128;Badakhshan
453;192;42;192;Karshi
454;64;44;255;Samarkand
455;193;46;0;Kyrzyl-Kum
456;65;48;64;Turkestan
457;193;50;128;Tashkent
458;65;52;192;Ferghana
459;193;54;255;Chuy
460;65;56;0;Tian Shan
461;193;58;64;Moghulistan
462;66;60;128;Georgia
463;194;62;192;Alania
464;66;64;255;Astrakhan
465;194;66;0;Bersh
466;66;68;64;Sarai
467;194;70;128;Bogutjar
468;66;72;192;Burtasia
469;195;74;255;Mordvar
470;67;76;0;Baybaktu
471;195;78;64;Alimuly
472;67;80;128;Zheteru
473;195;82;192;Samara
474;67;84;255;Uralsk
475;195;86;0;Ufa
476;68;88;64;Kypshak
477;196;90;128;Nadym
478;68;92;192;Argyn
479;196;94;255;Kerey
480;68;96;0;Kulunda
481;196;98;64;Bermuda
482;68;100;128;Bahamas
483;197;102;192;Turks Islands
484;69;104;255;Havana
485;197;106;0;Moron
486;69;108;64;Guantamano
487;197;110;128;Jamaica
488;69;112;192;Les Cayes
489;197;114;255;Tortuga
490;70;116;0;Barahonas
491;198;118;64;Curacao
492;70;120;128;Puerto Rico
493;198;122;192;St. Thomas
494;70;124;255;St. Martin
495;198;126;0;St. Kitts
496;70;128;64;Antigua
497;199;130;128;Guadelopue
498;71;132;192;Dominica
499;199;134;255;Martinique
500;71;136;0;St. Lucia
501;199;138;64;Barbados
502;71;140;128;Trinidad
503;199;142;192;Kutch
504;72;144;255;Sind
505;200;146;0;Bakkar
506;72;148;64;Multan
507;200;150;128;Lahore
508;72;152;192;Jammu
509;200;154;255;Kashmir
510;72;156;0;Chandigarh
511;201;158;64;Sutlej
512;73;32;128;Thar
513;201;34;192;Jaisalmer
514;73;36;255;Jodphur
515;201;38;0;Kathiawar
516;73;40;64;Ahmadabad
517;201;42;128;Baroda
518;74;44;192;Udaipur
519;202;46;255;Jaipur
520;74;48;0;Bikaner
521;202;50;64;Panipat
522;74;52;128;Delhi
523;202;54;192;Lucknow
524;74;56;255;Agra
525;203;58;0;Ajmer
526;75;60;64;Malwa
527;203;62;128;Khandesh
528;75;64;192;Surat
529;203;66;255;Dadra
530;75;68;0;Konkan
531;203;70;64;Goa
532;76;72;128;Raichur Doab
533;204;74;192;Mysore
534;76;76;255;Calicut
535;204;78;0;Malabar
536;76;80;64;Madurai
537;204;82;128;Thiruch Chapall
538;76;84;192;Kongu
539;205;86;255;Madras
540;77;88;0;Bangalore
541;205;90;64;Kondavidu
542;77;92;128;Telingana
543;205;94;192;Golconda
544;77;96;255;Ahmadnagar
545;205;98;0;Maharastra
546;78;100;64;Nagpur
547;206;102;128;Bastar
548;78;104;192;Indravarti
549;206;106;255;Parlakimidi
550;78;108;0;Mandla
551;206;110;64;Gondwana
552;78;112;128;Orissa
553;207;114;192;Cuttack
554;79;116;255;Gorka
555;207;118;0;Oudh
556;79;120;64;Allahabad
557;207;122;128;Katmandu
558;79;124;192;Maital
559;207;126;255;Bihar
560;80;128;0;Iharkand
561;208;130;64;Bangala
562;80;132;128;Koch
563;208;134;192;Pandua
564;80;136;255;Vanga
565;208;138;0;Bhutan
566;80;140;64;Assam
567;209;142;128;Silhet
568;81;144;192;Chittagong
569;209;146;255;Manipur
570;81;148;0;Naga
571;209;150;64;Brahmaputra
572;81;152;128;Jaffna
573;209;154;192;Korales
574;82;156;255;The Andamans
575;210;158;0;Baluchistan
576;82;32;64;Indus
577;210;34;128;Quetta
578;82;36;192;Kohistan
579;210;38;255;Arakan
580;82;40;0;Chin
581;211;42;64;Sagaing
582;83;44;128;Kachin
583;211;46;192;Hsenwi
584;83;48;255;Kyuakse
585;211;50;0;Toungoo
586;83;52;64;Pegu
587;211;54;128;Keng Tung
588;84;56;192;Mongnai
589;212;58;255;Chiang Mai
590;84;60;0;Moulmein
591;212;62;64;Tenasserim
592;84;64;128;Ratchaburi
593;212;66;192;Ligore
594;84;68;255;Pattani
595;213;70;0;Perak
596;85;72;64;Malacca
597;213;74;128;Johor
598;85;76;192;Pahang
599;213;78;255;Kelantan
600;85;80;0;Ayutthaya
601;213;82;64;Sukthothai
602;86;84;128;Chian Rai
603;214;86;192;Rayong
604;86;88;255;Udong
605;214;90;0;Prei Nokoi
606;86;92;64;Panduranga
607;214;94;128;Vijaya
608;86;96;192;Champassak
609;215;98;255;Siem Reap
610;87;100;0;Binh Tri Thien
611;215;102;64;Thakhek
612;87;104;128;Khorat
613;215;106;192;Thang Long
614;87;108;255;Vientiane
615;215;110;0;Luang Prabang
616;88;112;64;Viet Bac
617;216;114;128;Aceh
618;88;116;192;Aru
619;216;118;255;Minangkabau
620;88;120;0;Siak
621;216;122;64;Benkulen
622;88;124;128;Palembang
623;217;126;192;Lampung
624;89;128;255;Banten
625;217;130;0;Priangan
626;89;132;64;Mataram
627;217;134;128;Blambangan
628;89;136;192;Surabaya
629;217;138;255;Demak
630;90;140;0;Sunda
631;218;142;64;Bali-Lombok
632;90;144;128;Sumbawa
633;218;146;192;Flores
634;90;148;255;Sumba
635;218;150;0;Timor
636;90;152;64;Brunei
637;219;154;128;Sabah
638;91;156;192;Kutei
639;219;158;255;Banjarmasin
640;91;32;0;Sukadane
641;219;34;64;Makassar
642;91;36;128;Bone
643;219;38;192;Pose
644;92;40;255;Menade
645;220;42;0;Buru
646;92;44;64;Ambom
647;220;46;128;Ceram
648;92;48;192;Halmahera
649;220;50;255;Ternate
650;92;52;0;Tidore
651;221;54;64;Sulu
652;93;56;128;Maguindanae
653;221;58;192;Tagoloan
654;93;60;255;Visayas
655;221;62;0;Palawan
656;93;64;64;Manila
657;221;66;128;Samtoy
658;94;68;192;Cagayan
659;222;70;255;Riau
660;94;72;0;Xishuan Banna
661;222;74;64;Dali
662;94;76;128;Yunnan
663;222;78;192;Wenshan
664;94;80;255;Guangxi
665;223;82;0;XXX
666;95;84;64;Hainan
667;223;86;128;Guangzhou
668;95;88;192;Macau
669;223;90;255;Fuzhou
670;95;92;0;Ganzhou
671;223;94;64;Changsha
672;96;96;128;Chenzhou
673;224;98;192;Bozhou
674;96;100;255;Guiyang
675;224;102;0;Liangshan
676;96;104;64;U-Tsang
677;224;106;128;Qamdo
678;96;108;192;Kham
679;225;110;255;Sichuan Pendi
680;97;112;0;Shenquing
681;225;114;64;Yichuan
682;97;116;128;Hanyang
683;225;118;192;Nanchang
684;97;120;255;Hangzhou
685;225;122;0;Huai'an
686;98;124;64;Anqing
687;226;126;128;Running
688;98;128;192;Kaifeng
689;226;130;255;Fengyuan
690;98;132;0;Shandong Bandao
691;226;134;64;Jinan
692;98;136;128;Handan
693;227;138;192;Sanguan
694;99;140;255;Changzhi
695;227;142;0;Beijing
696;99;144;64;Xuan Fu
697;227;146;128;Datong
698;99;148;192;Guyuan
699;227;150;255;Lanzhou
700;100;152;0;Shaanxi
701;228;154;64;Ordos
702;100;156;128;Ulaanchab
703;228;158;192;Chengde
704;100;32;255;Liaoxi
705;228;34;0;Dangla
706;100;36;64;Amdo
707;229;38;128;Yumen
708;101;40;192;Gansu
709;229;42;255;Ningxia
710;101;44;0;Hotan
711;229;46;64;Qarqan
712;101;48;128;Uighuristan
713;229;50;192;Kuruk Tag
714;102;52;255;Dzungaria
715;230;54;0;Urumqi
716;102;56;64;Tannu Tuva
717;230;58;128;Hovd
718;102;60;192;Jasagdu
719;230;62;255;Sayin Noyan
720;102;64;0;Tshiyet Noyan
721;231;66;64;Dornod
722;103;68;128;Chahar
723;231;70;192;Xilin Gol
724;103;72;255;Yakesa
725;231;74;0;Hinggan
726;103;76;64;Liaodong
727;231;78;128;Heilongjiang
728;104;80;192;Sanxing
729;232;82;255;Wusuli
730;104;84;0;Haixi
731;232;86;64;Ninguta
732;104;88;128;Hamgyeong
733;232;90;192;Pyeongan
734;104;92;255;Gangwon
735;233;94;0;Chungcheong
736;105;96;64;Gyeongsang
737;233;98;128;Jeolla
738;105;100;192;Taiwan
739;233;102;255;Altishar
740;105;104;0;Ladakh
741;233;106;64;Cumana
742;106;108;128;Guayana
743;234;110;192;Essequibo
744;106;112;255;Demerara
745;234;114;0;Suriname
746;106;116;64;Cayenne
747;234;118;128;Tucujulandia
748;106;120;192;Grao Para
749;235;122;255;Maranhao
750;107;124;0;Alpercatas
751;235;126;64;Ceara
752;107;128;128;Oeiras
753;235;130;192;Rio Grande
754;107;132;255;Itamaraca
755;235;134;0;Pernambuco
756;108;136;64;Bahia
757;236;138;128;Ilheus
758;108;140;192;Goias
759;236;142;255;Diamentina
760;108;144;0;Porto Seguro
761;236;146;64;Espirito Santo
762;108;148;128;Sao Tome
763;237;150;192;Rio de Janeiro
764;109;152;255;Santo Amaro
765;237;154;0;Minas Gerais
766;109;156;64;Sao Vicente
767;237;158;128;Mato Grosso
768;109;32;192;Guayra
769;237;34;255;Santana
770;110;36;0;Tape
771;238;38;64;Patos
772;110;40;128;Uruguay
773;238;42;192;Banda Oriente
774;110;44;255;Mbaracayu
775;238;46;0;Xeres
776;110;48;64;Itenines
777;239;50;128;Parana
778;111;52;192;Rio de la Plata
779;239;54;255;Serranos
780;111;56;0;Tehuelmapu
781;239;58;64;Patagonia Oriental
782;111;60;128;Tierra del Fuego
783;239;62;192;Patagonia Occidental
784;112;64;255;Huillimapu
785;240;66;0;Pehuenmapu
786;112;68;64;Salinas Grande
787;240;70;128;Pincunmapu
788;112;72;192;Cuyo
789;240;74;255;Pampas
790;112;76;0;Chaco Austral
791;241;78;64;Catamarca
792;113;80;128;Copiapo
793;241;82;192;Atacama
794;113;84;255;Jujuy
795;241;86;0;Chichas
796;113;88;64;Arica
797;241;90;128;Caracara
798;114;92;192;Charcas
799;242;94;255;Chaco Boreal
800;114;96;0;Chiquitos
801;242;98;64;Caranga
802;114;100;128;Chuquiabo
803;242;102;192;Moxos
804;114;104;255;Puno
805;243;106;0;Arequipa
806;115;108;64;Nazca
807;243;110;128;Huamanga
808;115;112;192;Cuzco
809;243;114;255;Lima
810;115;116;0;Huancavelica
811;243;118;64;Tarma
812;116;120;128;Chanchan
813;244;122;192;Cajamarca
814;116;124;255;Huanuco
815;244;126;0;Maynas
816;116;128;64;Tumbes
817;244;130;128;Cuenca
818;116;132;192;Canelos
819;245;134;255;Guayaquil
820;117;136;0;Quito
821;245;138;64;Quijos
822;117;140;128;Caqueta
823;245;142;192;Cauca
824;117;144;255;Mariquita
825;245;146;0;Bogota
826;118;148;64;Choco
827;246;150;128;Antioquía
828;118;152;192;Cartagena
829;246;154;255;Magdalena
830;118;156;0;Maracaibo
831;246;158;64;Caracas
832;118;32;128;Chiancon
833;247;34;192;Tunja
834;119;36;255;Barinas
835;128;34;79;Panama
836;0;36;126;Chorotega
837;128;38;173;Nicaragua
838;0;40;32;Mosquito
839;128;42;79;Pipil
840;0;44;126;Honduras
841;129;46;173;Guatemala
842;1;48;32;Petén
843;129;50;79;Belize
844;1;52;126;Zapotec
845;129;54;173;Campeche
846;1;56;32;Yucatan
847;129;58;79;Mixtec
848;2;60;126;Tohancapan
849;130;62;173;Tlapanec
850;2;64;32;Tlaxcala
851;130;66;79;Tarasco
852;2;68;126;Mexico
853;130;70;173;Huastec
854;2;72;32;Sayultecas
855;131;74;79;Huichol
856;3;76;126;Zacatecas
857;131;78;173;Guachichil
858;3;80;32;Tamaulipas
859;131;82;79;Sinaloa
860;3;84;126;Tepehuan
861;131;86;173;Coahuila
862;4;88;32;Yaqui
863;132;90;79;Suma
864;4;92;126;Concho
865;132;94;173;Cochimi
866;4;96;32;Guaycura
867;132;98;79;Mojave
868;4;100;126;Chumash
869;133;102;173;Salinan
870;5;104;32;Yorkuts
871;133;106;79;Pomo
872;5;108;126;Kalapuya
873;133;110;173;Chinook
874;5;112;32;Salish
875;133;114;79;Canyon
876;6;116;126;Yavapai
877;134;118;173;Pima
878;6;120;32;Navajo
879;134;122;79;Apache
880;6;124;126;Pueblo
881;134;126;173;Piro
882;6;128;32;Mescalero
883;135;130;79;Lipan
884;7;132;126;Karankawa
885;135;134;173;Comanche
886;7;136;32;Waco
887;135;138;79;Tonkawa
888;7;140;126;Atakapa
889;135;142;173;Arapaho
890;8;144;32;Kiowa
891;136;146;79;Jicarilla
892;8;148;126;Wichita
893;136;150;173;Chitimacha
894;8;152;32;Caddo
895;136;154;79;Arkansas
896;8;156;126;Ozark
897;137;158;173;Quapaw
898;9;32;32;Kansas
899;137;34;79;Osage
900;9;36;126;Tamaroa
901;137;38;173;Pawnee
902;9;40;32;Missouri
903;137;42;79;Omaha
904;10;44;126;Nakota
905;138;46;173;Iowa
906;10;48;32;Lakota
907;138;50;79;Dakota
908;10;52;126;Minnesota
909;138;54;173;Mandan
910;10;56;32;Chippewa
911;139;58;79;Menominee
912;11;60;126;Sauk
913;139;62;173;Fox
914;11;64;32;Winnebago
915;139;66;79;Illinois
916;11;68;126;Kaskaskia
917;139;70;173;Cahokia
918;12;72;32;Tennessee
919;140;74;79;Chickasaw
920;12;76;126;Choctaw
921;140;78;173;Bayougoula
922;12;80;32;Mobile
923;140;82;79;Pensacola
924;12;84;126;Alabama
925;141;86;173;Tuskegee
926;13;88;32;Seminole
927;141;90;79;Timucua
928;13;92;126;Apalachee
929;141;94;173;Muskogee
930;13;96;32;Yamasee
931;141;98;79;Chiaha
932;14;100;126;Santee
933;142;102;173;Catawba
934;14;104;32;Shawnee
935;142;106;79;Cherokee
936;14;108;126;Cheraw
937;142;110;173;Tuscarora
938;14;112;32;Pamlico
939;143;114;79;Pennyrile
940;15;116;126;Kentucky
941;143;118;173;Cumberland
942;15;120;32;Wea
943;143;122;79;Miami
944;15;124;126;Potawatomi
945;143;126;173;Michigan
946;16;128;32;Wyandot
947;144;130;79;Erie
948;16;132;126;Ohio
949;144;134;173;Monacan
950;16;136;32;Powhatan
951;144;138;79;Kanawha
952;16;140;126;Manahoac
953;145;142;173;Conoy
954;17;144;32;Allegheny
955;145;146;79;Susquehanna
956;17;148;126;Lenape
957;145;150;173;Delaware
958;17;152;32;Seneca
959;145;154;79;Cayuga
960;18;156;126;Onondaga
961;146;158;173;Oneida
962;18;32;32;Unami
963;146;34;79;Mahican
964;18;36;126;Mohawk
965;146;38;173;Manhattan
966;18;40;32;Connecticut
967;147;42;79;Narraganset
968;19;44;126;Massachusetts
969;147;46;173;Pocumtuk
970;19;48;32;Pennacook
971;147;50;79;Abnaki
972;19;52;126;Nootka
973;147;54;173;Squamish
974;20;56;32;Kwakiutl
975;148;58;79;Tsimshian
976;20;60;126;Tlingit
977;148;62;173;Yakutat
978;20;64;32;Kenai
979;148;66;79;Aleut
980;20;68;126;Beothuk
981;149;70;173;Taqamkuk
982;21;72;32;Unamakik
983;149;74;79;Epekwitk
984;21;76;126;Acadia
985;149;78;173;Micmac
986;21;80;32;Kespek
987;149;82;79;Niagara
988;22;84;126;Huron
989;150;86;173;Ontario
990;22;88;32;Kwedech
991;150;90;79;Ottawa
992;22;92;126;Algonquin
993;150;94;173;Hochelega
994;22;96;32;Stadacona
995;151;98;79;Atiamekw
996;23;100;126;Innu
997;151;102;173;Labrador
998;23;104;32;Ungava
999;151;106;79;Nunavik
1000;23;108;126;Cree
1001;151;110;173;Sault
1002;24;112;32;Abitbi
1003;152;114;79;Moose Cree
1004;24;116;126;Attawapiskat
1005;152;118;173;Swampy Cree
1006;24;120;32;Chipewyan
1007;152;122;79;Ojibwa
1008;24;124;126;Winnipeg
1009;153;126;173;Atikaki
1010;25;128;32;Manitoba
1011;153;130;79;Woods Cree
1012;25;132;126;Satsuma
1013;153;134;173;Hizen
1014;25;136;32;Bungo
1015;153;138;79;Okinawa
1016;26;140;126;Iyo
1017;154;142;173;Nagato
1018;26;144;32;Izumo
1019;154;146;79;Harima
1020;26;148;126;Kyoto
